target_id,ens_gene,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,,,,
PA0671,PA0671,4.80E-07,3.80E-05,1.772660861,0.352137659,5.860879734,1.074861308,0.004904693,0.160299493,0.181096703,0.181096703,,,,
PA0957,PA0957,6.13E-07,4.78E-05,1.558001497,0.3124018,5.170346173,0.817637661,0.007154477,0.10462935,0.139237851,0.139237851,,,,
PA1922,PA1922,6.34E-07,4.88E-05,3.235639663,0.649664429,6.807094211,3.647285854,0.004880261,0.628215545,0.38072541,0.628215545,,,,
PA1084,flgI,6.84E-07,5.18E-05,-3.34525767,0.673649155,5.157682261,3.901788483,0.020894018,0.659810758,0.139727638,0.659810758,,,,
PA1323,PA1323,7.87E-07,5.89E-05,3.196659631,0.647300837,7.096084717,3.568387886,0.002114564,0.626382996,0.457774868,0.626382996,,,,
PA3982,PA3982,8.06E-07,5.95E-05,1.860594499,0.37711214,5.307913681,1.209199847,0.006357133,0.206963217,0.138243305,0.206963217,,,,
PA3361,lecB,9.80E-07,7.13E-05,3.022733248,0.617443183,7.497942977,3.072135657,0.001212619,0.412613344,0.570641507,0.570641507,,,,
PA4394,PA4394,1.17E-06,8.38E-05,2.003755578,0.412190969,6.277131564,1.371263788,0.002685175,0.205755904,0.252166918,0.252166918,,,,
PA2157,PA2157,1.20E-06,8.51E-05,1.729379857,0.356169935,5.898717637,0.989574925,0.004073121,0.111362526,0.186212413,0.186212413,,,,
PA2151,PA2151,1.26E-06,8.70E-05,2.537047061,0.52353785,6.915523285,1.971537386,0.002041827,0.048651983,0.409095993,0.409095993,,,,
PA3600,PA3600,1.24E-06,8.70E-05,4.943172465,1.019532692,5.558721573,8.577822498,0.0347728,1.524397565,0.14829464,1.524397565,,,,
PA2180,PA2180,1.38E-06,9.43E-05,2.590225879,0.536551698,6.990442314,2.216268808,0.002739123,0.251620597,0.429092464,0.429092464,,,,
PA2146,PA2146,1.44E-06,9.67E-05,3.784678724,0.785199098,8.807738089,4.645168733,0.000490652,0.434547872,0.924315783,0.924315783,,,,
PA2911,PA2911,1.60E-06,0.000106784,2.371728738,0.494338399,6.741307597,1.980773705,0.002593593,0.363962086,0.363871037,0.363962086,,,,
PA2176,PA2176,1.63E-06,0.000106917,1.68897997,0.352306685,5.871556284,0.930929307,0.003640162,0.090276471,0.182539839,0.182539839,,,,
PA5534,PA5534,1.65E-06,0.000106917,3.121827649,0.651370811,6.035696362,3.432883081,0.011571697,0.624854202,0.205717284,0.624854202,,,,
PA4877,PA4877,2.30E-06,0.000147404,2.026001654,0.428738834,6.01991207,1.451985196,0.003685175,0.272040306,0.203219919,0.272040306,,,,
PA5111,gloA3,2.34E-06,0.000148715,1.52862216,0.323770507,5.621819697,0.821809069,0.004178638,0.146825558,0.153062374,0.153062374,,,,
PA1085,flgJ,2.85E-06,0.000178643,-2.912369101,0.622098993,5.571274735,3.008976724,0.01247638,0.568034356,0.14912154,0.568034356,,,,
PA2149,PA2149,2.92E-06,0.000181049,2.519951549,0.538861902,3.929743017,2.058739865,0.045503133,0.146613269,0.39005509,0.39005509,,,,
PA1000,pqsE,3.25E-06,0.000192967,2.29097964,0.492207677,6.342146359,1.865298391,0.002961046,0.360441551,0.266839702,0.360441551,,,,
